event,adId,campaignID,xForwardedFor,stateID,cityID
RENDER,7007,1821,152.57.50.26,2239,81116
RENDER,7007,1821,157.33.2.227,2239,81116
RENDER,7007,1821,157.45.43.76,2239,81116
RENDER,7007,1821,103.176.6.171,2239,81116
RENDER,7007,1821,106.217.100.196,2239,81116
RENDER,7007,1821,117.99.243.116,2239,81116
RENDER,7007,1821,106.217.100.109,2239,81116
RENDER,7007,1821,152.57.53.109,2239,81116
RENDER,7007,1821,152.57.76.182,2239,81116
RENDER,7007,1821,152.57.18.66,2239,81116
RENDER,7007,1821,103.180.106.68,2239,81116
RENDER,7007,1821,103.220.80.243,2239,81116
RENDER,7007,1821,106.217.100.179,2239,81116
RENDER,7007,1821,106.193.229.70,2239,81116
RENDER,7007,1821,106.221.223.222,2239,81116
RENDER,7007,1821,117.99.245.102,2239,81116
RENDER,7007,1821,157.33.113.118,2239,81116
RENDER,7007,1821,117.99.244.50,2239,81116
RENDER,7007,1821,223.189.23.25,2239,81116
RENDER,7007,1821,157.33.99.135,2239,81116
RENDER,7007,1821,152.57.53.71,2239,81116
RENDER,7007,1821,106.193.229.144,2239,81116
RENDER,7007,1821,123.63.85.197,2239,81116
RENDER,7007,1821,110.225.50.57,2239,81116
RENDER,7007,1821,157.45.64.19,2239,81116
RENDER,7007,1821,157.33.66.99,2239,81116
RENDER,7007,1821,106.193.189.138,2239,81116
RENDER,7007,1821,123.63.85.197,2239,81116
RENDER,7007,1821,106.193.207.127,2239,81116
RENDER,7007,1821,117.99.245.183,2239,81116
RENDER,7007,1821,157.33.0.122,2239,81116
RENDER,7007,1821,106.221.13.39,2239,81116
RENDER,7007,1821,152.57.113.59,2239,81116
RENDER,7007,1821,152.57.177.29,2239,81116
RENDER,7007,1821,152.57.141.237,2239,81116
RENDER,7007,1821,152.57.185.114,2239,81116
RENDER,7007,1821,49.33.209.252,2239,81116
RENDER,7007,1821,152.57.112.203,2239,81116
RENDER,7007,1821,106.193.237.180,2239,81116
RENDER,7007,1821,117.99.255.47,2239,81116
RENDER,7007,1821,157.33.1.251,2239,81116
RENDER,7007,1821,49.204.69.154,2239,81116
RENDER,7007,1821,106.200.98.238,2239,81116
RENDER,7007,1821,152.57.188.53,2239,81116
RENDER,7007,1821,152.58.18.17,2239,81116
RENDER,7007,1821,49.32.166.14,2239,81116
RENDER,7007,1821,106.209.240.107,2239,81116
RENDER,7007,1821,42.106.216.170,2239,81116
RENDER,7007,1821,223.182.187.152,2239,81116
RENDER,7007,1821,152.58.18.45,2239,81116
RENDER,7007,1821,152.58.18.120,2239,81116
RENDER,7007,1821,106.193.198.160,2239,81116
RENDER,7007,1821,152.57.62.158,2239,81116
RENDER,7007,1821,152.57.90.111,2239,81116
RENDER,7007,1821,103.173.240.133,2239,81116
RENDER,7007,1821,152.57.173.4,2239,81116
